	fact	title
58	A photograph shows former U.S. President Barack Obama shaking hands with Iranian President Hassan Rouhani.	Is This a Real Photo of Obama Shaking Hands with Iranian President Rouhani?
59	A photograph shows four female defense ministers from Norway, Sweden, Netherlands and Germany and a male defense minister from Russia.	Are These the Defense Ministers of Norway, Sweden, Netherlands, Germany and Russia?
60	"A photograph shows pro-choice activists carrying a sign that reads ""Parasites don't have rights."""	Did Pro-Choice Protesters Carry a Sign That Likened Fetuses to ‘Parasites’?
61	"A photograph shows three U.S. soldiers in Syria ""crying and visibly shaken saying they could stop this in 10 minutes but Trump won’t let them."""	Are These US Soldiers in Syria Crying and Complaining About Trump?
62	"A photograph shows two men wearing ""I'd Rather Be a Russian Than a Democrat"" shirts at a rally for President Trump."	Are These ‘I’d Rather Be a Russian Than a Democrat’ Shirts Real?
63	A portion of money from every Bang Energy purchase goes toward funding U.S. President Donald Trump's 2020 re-election efforts.	Does a Portion of Each Bang Energy Sale Go Toward Trump’s Campaign?
64	A psychiatrist said U.S. President Donald Trump may be responsible for millions more deaths than Hitler, Stalin, and Mao.	Did a Psychiatrist Say Trump May Cause More Deaths Than Hitler, Stalin, and Mao?
65	"A second Broward County sheriff’s deputy died suspiciously after ""exposing"" the mass school shooting in Parkland, Florida."	Did a Second Broward County Sheriff’s Deputy Die After ‘Exposing’ the Parkland Shooting?
66	"A set of ""before-and-after"" pictures shows a penny that shrank after it was put in a microwave."	Will Putting a Penny in a Microwave Cause the Coin to Shrink?
67	A sign posted on a public beach by the city of Melbourne, Australia tells visitors to refrain from consuming of pork and alcohol and to be respectful during Islamic prayer times.	Does a ‘Multicultural Beach’ Sign in Melbourne Prohibit Pork and Alcohol?
68	"A so-called ""Church of Lucifer"" has opened in Colombia."	Did a Church of Lucifer Open in Colombia?
69	A special astronomical property allows brooms to be stood on end during particular days of the year.	Does ‘Gravitational Pull’ Allow Brooms to Stand on End on Certain Days?
70	A supporter of U.S. Rep. Alexandria Ocasio-Cortez suggested eating babies to combat climate change at a town hall event.	Did an AOC Supporter Suggest ‘Eating Babies’ to Fight Climate Change?
71	A temporary memorial at the U.S. Capitol displays a pair of empty shoes to illustrate the 7,000 children killed by guns since the December 2012 Sandy Hook Elementary School shooting.	Does an ‘Empty Shoes’ Memorial in Washington, D.C. Represent 7,000 Children Killed by Guns Since Sandy Hook?
72	"A tweet from U.S. President Donald Trump attacking the press echoes a passage from Hitler's ""Mein Kampf."""	Does This Trump Tweet Echo ‘Mein Kampf’?
73	A video documents that Planned Parenthood harvested the brain from a living, late-term aborted fetus.	Did Planned Parenthood Harvest the Brain from a Living, Late-Term Fetus?
74	A video shared widely on social media in July 2019 shows a fire in a car caused by perfume or air freshener ignited by a cigarette lighter.	Does a Video Show a Car Fire Caused by Perfume and Air Conditioning?
75	A video shows 300 children who were found frozen alive for purposes of organ harvesting.	Were 300 Children Found Frozen Alive for Organ Harvesting?
76	A video shows 5 million bikers on their way to Washington D.C. to demand an end to the Russia investigation.	Are 5 Million Bikers Heading to D.C. to Demand an End to the Russia Investigation?
77	"A video shows Democrats, referred to as an ""angry left-wing mob"" by President Trump, committing various acts of violence."	Does This Video Show the ‘Left-Wing Mob’ Committing Acts of Violence?
78	A video shows Eminem's daughter Hailie rapping.	Does This Video Show Eminem’s Daughter Rapping?
79	A video shows Hurricane Dorian approaching Florida in summer 2019.	Is This a Video of Hurricane Dorian Approaching Florida?
80	A video shows Nancy Pelosi drunkenly slurring her speech during an event in May 2019.	Does This Video Show Nancy Pelosi Drunk and Slurring Her Speech?
81	A video shows Palestinian lawmakers dancing in response to Nikki Haley's threat to cut aid to the country in the wake of a controversial decision to move the U.S. embassy to Jerusalem.	Did Palestinians Dance at the UN After Nikki Haley Threatened to Cut Aid?
82	A video shows Paul George's jersey number changing from 13 to 14 after he performed a 360 dunk.	Did Paul George’s Jersey Number Change After He Executed a 360 Dunk?
83	A video shows President Obama agreeing with President Trump on immigration policy.	Did This Video Show Obama Agreeing with the Trump Administration on Immigration Policies?
84	A video shows Queen Elizabeth riding with Meghan Markle's rescued beagle Guy to the royal wedding.	Did Meghan Markle’s Dog Accompany Queen Elizabeth to the Royal Wedding?
85	A video shows U.S. President Donald Trump being rushed off stage after someone yelled that model Chrissy Teigen was in the audience.	Was Trump Rushed Off Stage After Someone Yelled ‘Chrissy Teigen’s Here’?
86	A video shows U.S. President Donald Trump removing his hat and revealing that he's bald.	Is This a Video of President Trump Without His Toupee?
87	A video shows U.S. Rep. Ilhan Omar dancing on the anniversary of 9/11.	No, Rep. Ilhan Omar Was Not Filmed Dancing on 9/11 Anniversary
88	"A video shows a ""failed terrorist attack"" in Algiers involving an airplane and a gasoline tanker truck."	Did a Plane Narrowly Avoid a Fuel Tanker During a Failed Terrorist Attempt?
89	A video shows a German newscaster laughing at President Trump's statements at a NATO summit.	Is This How German News Covered President Trump at the NATO Summit?
90	"A video shows a crowd of people in the UK chanting ""We Love Trump"" in June 2019."	Is This a Video of UK Trump Supporters from June 2019?
91	A video shows a driver getting into a car crash during a Facebook live stream.	Does the ‘Don’t Stream and Drive’ Video Show a Real Car Crash?
92	A video shows a false eyebrow falling off the face of Canadian prime minister Justin Trudeau at the G7 Summit.	Did Justin Trudeau’s Eyebrow Fall Off at the G7 Summit?
93	"A video shows a grandparent gifting a copy of ""Mein Kampf"" to a grandchild who requested Minecraft for Christmas."	Did This ‘Minecraft’ for ‘Mein Kampf’ Verbal Mix-Up Really Happen?
94	A video shows a group of camels swimming through the sea.	Camels Crossing the Sea?
95	A video shows a group of people in Honduras being paid by George Soros to join a migrant caravan and storm the United States border.	Did George Soros Pay Refugees in Honduras to Join a Caravan and Storm the US Border?
96	A video shows a motorcyclist evading police by jumping over a train track.	Does This Video Show a Motorcyclist Evading Police by Jumping Over a Train Track?
97	A video shows a real animal called the shoebill stork.	Is the Shoebill Stork a Real Animal?
98	"A video shows a woman pushing a priest off a stage after he said, ""Fat women cannot go to heaven."""	Was a Priest Pushed off Stage for Saying ‘Fat Women Cannot Go to Heaven?’
99	A video shows an augmented reality (AR) dragon flying over a baseball stadium.	Did an AR Dragon Fly Over a Baseball Stadium?
100	A video shows piles of garbage left behind after U.S. President Donald Trump's June 2019 rally in Orlando, Fla.	Did Trump Supporters Leave Trash Behind After ’45 Fest’?
101	A video shows protesters in Hong Kong using wearable projectors to foil facial recognition technology.	Does a Video Show Hong Kong Protesters Using Wearable Projectors to Avoid Facial Recognition?
102	A video shows six Antifa members beating up an individual during an August 2018 alt-right protest in Washington D.C.	Does This Video Show Six Antifa Members Beating Up a Person During an August 2018 Rally?
103	A video shows students beating a classmate on a school bus because he was wearing a Trump presidential campaign hat.	Does a Video Show Students Beating a Classmate for Wearing a MAGA Hat?
104	A video shows the U.S.-ordered drone strike that killed Iran Gen. Qassem Soleimani.	Does This Video Show the Drone Strike That Killed Soleimani?
105	A video shows the liquid from a can of BANG Energy bursting into flames.	Are BANG Energy Drinks Flammable?
106	A video shows the moment at which an amusement park ride in India collapsed in July 2019.	Is This Video of a Theme Park Ride in India Collapsing?
107	A video shows two black men being arrested while waiting for a friend at a Starbucks.	Were Two Black Men Arrested for Waiting at a Starbucks?
108	A vintage photograph shows members of the Nazi League of Socialist Woman.	Does This Photo Show White-Clad Members of the League of Nazi Socialist Women?
109	"A viral photograph posted in June 2018 shows ""the whole of London"" protesting on the streets in defense of jailed far-right activist Tommy Robinson."	Did ‘the Whole of London’ Protest in Support of Far-Right Activist Tommy Robinson?
110	A viral screenshot shows a Fox News contributor debating the 'War on Christmas' while other news networks reported on Michael Cohen's guilty pleas.	Did Fox News Discuss the ‘War on Christmas’ While Other Networks Covered Michael Cohen’s Guilty Pleas?
111	A viral video shows George Lopez urinating on President Donald Trump's star on the Hollywood Walk of Fame in July 2018.	Did Comedian George Lopez Urinate on Donald Trump’s Hollywood Star?
112	A vote to impeach U.S. President Andrew Johnson was held just three days after the offending action.	Was U.S. President Andrew Johnson Impeached in 3 Days?
113	A widely shared image is an authentic photograph that shows a Hanukkah menorah displayed in the home of a Jewish family in Nazi Germany in 1932.	Does a Photo Show a Menorah Displayed in Defiance of Nazism?
114	A young woman named Allisyn Nicole is missing.	Is Allisyn Nicole Still Missing?
115	ABC News mistakenly aired a video from a Kentucky gun range during its coverage of Turkey's attack on northern Syria in October 2019.	Did ABC Mistakenly Label a Video from a US Gun Range as Syrian War Footage?
116	ABC, CBS, NBC, MSNBC, NPR, PBS all refused to cover abortionist who kept 2,246 aborted babies.	Did Mainstream Media Outlets ‘Refuse’ to Cover Abortion Doctor Ulrich Klopfer?
117	ALDI offers free food to homeless people at their stores after 4 PM on Christmas Eve.	Is ALDI Offering Homeless People Free Food on Christmas Eve?
118	Actor Danny Trejo has passed away at age 74.	Danny Trejo Death Hoax
119	"Actor Samuel L. Jackson tweeted a lament about overpaid ""modern mumble"" rap artists and underpaid teachers."	Did Samuel L. Jackson Tweet About Overpaid ‘Modern Mumble Rappers’ and Teachers’ Pay?
120	Actor Tom Cruise released a video announcing that he was running for U.S. president in 2020.	Is Tom Cruise Running for President?
121	Adam Schiff used taxpayer money to silence a man who accused him of sexual harassment.	Did Adam Schiff Use Taxpayer Money to Settle a Sexual Harassment Claim in 2013?
122	Adam Schiff's sister Melissa was married to George Soros's son, Robert.	Was Adam Schiff’s Sister Married to George Soros’s Son?
123	"After the 2019 El Paso shooting, President Trump deleted tweets that referred to immigrants as ""invaders."""	Did President Trump Delete Tweets That Referred to Immigrants as “Invaders”?
124	Alabama legalized incestual marriages between brothers and sisters and uncles and nieces.	Did Alabama Bless ‘Incest’ Marriages Between Brothers and Sisters, Uncles and Nieces?
125	"Albert Einstein said: ""We are slowed down sound and light waves, a walking bundle of frequencies tuned into the cosmos. We are souls dressed up in sacred biochemical garments and our bodies are the instruments through which our souls play their music."""	Did Albert Einstein Say ‘We Are Slowed-Down Sound and Light Waves’?
126	All of the drivers arrested in 282 traffic stops in Polk County, Iowa, were African-American.	Did African-American Drivers Comprise 100% of the Traffic Arrests in Polk County, Iowa?
127	"Amazon's Alexa randomly plays a ""creepy laugh."""	Is Amazon’s Alexa Creepily Laughing for No Apparent Reason?
128	Amazon's use of the USPS for package delivery services has resulted in a severe financial loss to the Postal Service.	Is Amazon Bankrupting the United States Postal Service?
129	American political consultant Roger Stone has a tattoo of Richard Nixon on his back.	Does Roger Stone Have a Tattoo of Richard Nixon on His Back?
130	"Americans eliminated unnecessary letters from the British spellings of words such as ""cancelled"" and ""colour"" because U.S. newspapers charged by the letter for advertising."	Why Is It ‘Cancelled’ in the UK, But ‘Canceled’ in America?
131	"An ""elderly man"" was beaten while trying to protect a sundress-wearing man from being attacked."	Was an ‘Elderly Man’ Beaten While Trying to Help a ‘Man in a Sundress’ in Portland?
132	"An Instagram account linked to suspected shooter Nikolas Cruz featured an avatar that included a ""MAGA"" hat."	Did the Florida Shooter’s Instagram Profile Picture Feature a ‘MAGA’ Hat?
133	An MSNBC crew blocked a handicapped parking space outside a polling station in Houston, preventing a disabled U.S. Air Force veteran from voting.	Did an MSNBC Crew Prevent a Disabled Veteran from Voting by Blocking a Handicapped Parking Spot?
134	An October 2018 Craigslist ad solicited paid attendees to President Trump's rally in Erie, Pennsylvania.	Did a Craigslist Ad Solicit Paid Attendees to Donald Trump’s Rally in Erie, Pennsylvania?
135	"An animator for the ""My Little Pony"" cartoon series was arrested for child pornography, proving that the PedoGate conspiracy is real."	Was a ‘My Little Pony’ Animator Arrested for Possession of Child Pornography Part of ‘#PedoGate’?
136	An artist installed seesaws at the border of the United States and Mexico.	Were Seesaws Installed at the U.S.-Mexico Border?
137	An autumn 2018 outbreak of E. coli linked to romaine lettuce was caused by a decision by President Trump to reverse existing rules on agricultural water inspection.	Did President Donald Trump Overturn Farm Water Regulations, Causing an E. Coli Outbreak?
138	"An emergency medical responder said he was given a ""stand down"" order during the mass shooting in Parkland, Florida."	Did a First Responder Say He Was Told to ‘Stand Down’ in Parkland?
139	An employee at a women's health center in Bronx, New York, told an undercover pro-life activist she should dispose of a baby born alive after a failed abortion.	Did an Abortion Clinic Employee Tell a Patient to ‘Flush’ a Baby That Survived Abortion?
140	"An episode of ""The Simpsons"" predicted that U.S. President Donald Trump would cancel his trip to Denmark after the prime minister refused to sell Greenland to the United States."	Did ‘The Simpsons’ Predict Trump Would Try to Buy Greenland?
141	An image posted by a social media user shows Tree of Life mass shooting victim Rose Mallinger.	Is This a Photograph of Tree of Life Synagogue Shooting Victim Rose Mallinger?
142	"An image shows a redesign of the character ""Sonic"" for an upcoming movie."	Is This the ‘Sonic’ Character’s New Redesign?
143	An image shows the official 2020 Olympic logo.	Is This the 2020 Summer Olympics Logo?
144	An infographic describing how to amputate a gentleman’s arm is a genuine historical document.	Is This ‘Gentleman’s Guide to Amputation’ Authentic?
145	An photograph shows Donald Trump's mother, Mary Anne MacLeod Trump.	Is This a Photograph of Donald Trump’s Mother?
146	An unauthorized immigrant shot and killed Gerald and Sharon David in Nevada in January 2019.	Was an Elderly Nevada Couple Shot Dead by an Undocumented Immigrant?
147	"Ann Coulter posted a tweet stating that ""men have no choice but to rape because they have no opportunities to date attractive women?."""	Did Ann Coulter Tweet That ‘Men Have No Choice But to Rape …’?
148	"Anthony Hanes was mugged in a ""drug dealing neighborhood"" while doing an online challenge inspired by the movie ""Bird Box."""	Did a Man Performing the ‘Bird Box Challenge’ Get Jumped and Mugged?
149	Anthropologist Jane Goodall likened Donald Trump's actions to primates engaging in dominance behavior.	Did Jane Goodall Compare Donald Trump’s Actions to Primate Dominance Behavior?
150	Arizona State Senate candidate Bobby Wilson fatally shot his mother in 1963.	Did an Arizona State Senate Candidate Fatally Shoot His Mother?
151	As of June 2019, the United States was ranked as having the cleanest air in the world.	Does the U.S. Have the ‘Cleanest Air in the World’?
152	"As part of a federal lawsuit, U.S. President Donald Trump admitted criminal wrongdoing and said or argued to the effect that ""My crimes can't be investigated while I'm president."""	Did Donald Trump Admit Criminal Wrongdoing, Argue ‘My Crimes Can’t Be Investigated While I’m President’?
153	Astronaut Mark Kelly said President Trump's proposed 'Space Force' military branch was a dumb idea.	Did Astronaut Mark Kelly Say the ‘Space Force’ Was a ‘Dumb Idea?’
154	Bahamians fleeing the destruction of Hurricane Dorian in late summer 2019 were forced to leave a boat to the U.S. because they didn't have visas.	Were Bahamians Fleeing Dorian Told to Leave a Ferry to Florida Because They Lacked Visas?
155	"Betsy DeVos miscounted the number of words in a poorly-worded ""#AmericaIn3Words"" tweet."	Did Betsy DeVos Tweet ‘It’s Is My Favorite Country’ About America?
156	Blue Buffalo pet food contains unsafe and higher-than-average levels of lead.	Does Blue Buffalo Dog Food Contain Toxic Levels of Lead?
157	Bricks of cocaine washed ashore in Florida after Hurricane Dorian.	Did Bricks of Cocaine Wash Up on Beaches After Hurricane Dorian?
158	CNN mislabeled the state of Alabama as Mississippi on a weather map of Hurricane Dorian.	Did CNN Mislabel Alabama as Mississippi on Hurricane Dorian Weather Map?
159	Canadians can be fined $1,000 for eating while driving.	Can Canadians Be Fined $1,000 for ‘Eating While Driving Starting Next Month’?
160	"Celebrity chef Jamie Oliver proved that the meat in McDonald's hamburgers is ""unfit for human consumption"" due to the use of beef trimmings treated with bacteria-killing ammonium hydroxide."	Did Jamie Oliver Prove McDonald’s Burgers Are Unfit for Human Consumption?
161	Chase Bank deleted a tweet advising consumers to shore up low account balances by not eating out or buying coffee.	Did Chase Bank Delete a Tweet Taunting People Who Ask ‘Why Is My Balance So Low’?
162	Chelsea Clinton said Satanism is a religion that deserves respect.	Did Chelsea Clinton Say Satanism Is a Religion That Deserves Respect?
163	Chelsea Clinton said that legalizing abortion created trillions of dollars worth of economic growth.	Did Chelsea Clinton Say Legalizing Abortion Added Trillions to the Economy?
164	Chelsea Clinton wears an upside-down (inverted) cross that is symbolic of Satan worship.	Does Chelsea Clinton Wear an Upside-Down ‘Satanic’ Cross?
165	Children born to U.S. service members and government employees overseas will no longer be automatically considered citizens of the United States.	Will Children of U.S. Troops Born Overseas No Longer Get U.S. Citizenship?
166	Children have been fined for operating lemonade stands without a permit, or ordered to obtain expensive permits.	Have Children Been Fined for Operating Lemonade Stands?
167	China has granted a trademark for Ivanka Trump-branded voting machines.	Did China Grant a Trademark to Ivanka Trump for Voting Machines?
168	Christine Blasey Ford is closely linked to the CIA, and her sexual assault allegations against Brett Kavanaugh are part of a CIA plot.	Is Christine Blasey Ford ‘Deeply Tied’ to the Central Intelligence Agency?
169	Christine Blasey Ford's brother, Tom Blasey, worked in the same company as a close relative (wife, sister, or sister-in-law) of former FBI agent Peter Strzok.	Did Christine Blasey Ford’s Brother Work with a Close Relative of Peter Strzok’s?
170	"Clemson football quarterback Trevor Lawrence defended the fast food meal his team received at the White House, saying it was ""the best meal we ever had."""	Did Clemson’s Quarterback Say Their White House Meal Was ‘The Best We Ever Had’?
171	Clint Eastwood wrote the essay that begins “People message me why I stick my neck out for Trump. Why do I tarnish my reputation with a man that’s hated by so many?”	Did Clint Eastwood Write “Why-I-Stick-My-Neck-Out-For-Trump” Viral Post?
172	"Comedian and talk show host Bill Maher said he hopes an economic recession will occur because it's a way to get rid of President Trump."""	Did Bill Maher Say He Hopes for a Recession ‘to Get Rid of Trump’?
173	"Conservative commentator Tomi Lahren compared her ""real hair"" to Beyoncé's hair."	Did Fox News Contributor Tomi Lahren Compare Her ‘Real Hair’ to Beyoncé’s?
174	Consuming tainted lettuce caused more deaths in 2018 than homicides perpetrated by undocumented immigrants.	Did Lettuce Kill More People in the U.S. in 2018 Than Undocumented Immigrants Did?
175	Controlled blasting was used near Native American burial sites during the the construction of a U.S.-Mexico border wall in Arizona's Organ Pipe Cactus National Monument.	Does Border Wall Construction Threaten Native American Burial Sites?
176	Corey Feldman was stabbed by assailants angered by his claims that he was victim of pedophilia.	Was Actor Corey Feldman Stabbed Over Pedophilia Claims?
177	David Hogg stated that he believes that the enforced use of clear backpacks in school constitutes a violation of students' First Amendment rights, but he favors the abolition of the Second Amendment.	Did David Hogg Offer Contrasting Stances on the First and Second Amendments?
178	Delta Air Lines gives members of Planned Parenthood discounted rates on air travel.	Does Delta Airlines Give Planned Parenthood Members Discounted Rates?
179	"Democratic Party lawmakers were ""partying"" at a Puerto Rican retreat scheduled in the middle of the partial federal government shutdown."	Were U.S. Democratic Lawmakers ‘Partying’ in Puerto Rico During the Government Shutdown?
180	Democratic gubernatorial candidate Stacey Abrams burned the Georgia state flag during a protest in 1992.	Did Gubernatorial Candidate Stacey Abrams Once Burn the Georgia State Flag?
181	Democratic legislators passed a bill to fund college for undocumented immigrants using taxpayer money.	Did Democrats Pass a Bill That Funds College for ‘Illegal Immigrants’ Using Taxpayer Money?
182	Democratic presidential contender Pete Buttigieg is planning an anti-Chick-fil-A protest.	Is Pete Buttigieg Planning an Anti-Chick-fil-A Protest?
183	Despite his claims to the contrary, President Trump has ongoing financial interests in Saudi Arabia.	Does President Trump Have Financial Interests in Saudi Arabia?
184	Diane Abbott was photographed wearing mismatched shoes on Dec. 12, 2019.	Did UK Politician Diane Abbott Wear Mismatched Shoes in Elex Day Photos?
